Čejkovice;48.87863;16.2855
Citov;49.46895;17.32604
Lhota;50.09021;13.9774
Ploskovice;50.57;14.19991
Bělotín;49.59495;17.79886
Rataje;49.70689;14.97234
Řícmanice;49.25931;16.69535
Ivaň;49.42621;17.24173
Zábeštní Lhota;49.51368;17.43366
Slatina;49.01745;16.02399
Bílkovice;49.76269;14.85199
Tehov;49.73808;14.95539
Tichonice;49.77307;14.99116
Těšetice;48.88268;16.15674
Chýnice;49.98802;14.25958
Luběnice;49.57704;17.12662
Vysoký Újezd;49.81691;14.47805
Zduchovice;49.63214;14.21631
Bernardov;50.01597;15.40349
Mikulčice;48.81653;17.0604
Milotice;48.95652;17.13289
Žeraviny;48.90964;17.38475
Lubomìø pod Strážnou;49.68809;17.66738
Mìsto Libavá;49.73994;17.51941
Doupovské Hradištì;50.23413;13.00687
Polná na Šumavì;48.79432;14.14053
Jihlava;49.40657;15.58323
Zbelítov;49.45851;14.32281
Kostelní Vydří;49.11004;15.418
Kostelní Radouň;49.22556;15.00732
Cep;48.93021;14.84009
Dambořice;49.03844;16.92375
Němčice nad Hanou;49.35128;17.20097
Roprachtice;50.65793;15.41604
Sudslava;50.04075;16.28914
Zásmuky;49.94824;15.02118
Zbýšov;49.13492;16.80193
Pivkovice;49.17647;14.06899
Kotenčice;49.73745;14.09615
Zdice;49.91799;13.97068
Kladno;50.14942;14.11213
Říčany;49.2167;16.3817
Újezd u Přelouče;50.10418;15.49589
Žiželice;50.12466;15.39923
Kutná Hora;49.94794;15.28218
Krchleby;49.88052;15.34744
Křesetice;49.9045;15.26479
Malešov;49.90358;15.2144
Svatý Mikuláš;49.99967;15.35792
Nepoměřice;49.87939;15.15102
Vinařice;49.89312;14.09561
Třebichovice;50.19323;14.08413
Rataje nad Sázavou;49.84278;14.966
Obruby;50.45889;15.08404
Kunětice;50.07569;15.82854
Římov;48.85877;14.49535
Sedlec;49.06483;14.2985
Slavče;48.80717;14.60629
Nová Ves;48.94867;14.24783
Horní Smržov;49.61587;16.5787
Lužice;49.02858;14.20445
Lipová;49.41367;17.61576
Borovnice;48.91123;14.52316
Petříkov;48.85807;14.76571
Dolní Bousov;50.44026;15.12516
Zdislavice;49.6809;14.98073
Kamberk;49.60055;14.84118
Těchařovice;49.59519;14.05244
Malhotice;49.48993;17.76156
Milenov;49.56899;17.66562
Milotice nad Bečvou;49.53727;17.84017
Zbýšov;49.81617;15.35768
Žehušice;49.96242;15.41848
Mělník;50.36965;14.48748
Domousnice;50.4057;15.10228
Jarošov;49.82048;16.16461
Dlouhá Lhota;49.72437;14.12175
Miskovice;49.94729;15.22174
Lysá nad Labem;50.19933;14.82741
Mcely;50.301;15.06948
Městec Králové;50.2114;15.29052
Občov;49.71212;14.06793
Nelešovice;49.51311;17.3954
Kyje;50.49917;15.38019
Křivsoudov;49.63013;15.09899
Březí;49.5037;13.80319
Kuňovice;49.66136;15.00389
Hradčany;49.44974;17.56706
Černotín;49.53754;17.77431
Hobšovice;50.27993;14.15965
Hvězdonice;49.86992;14.77643
Dobrčice;49.40208;17.484
Loucká;50.33311;14.22932
Sousedovice;49.23217;13.86293
Malé Přítočno;50.10735;14.13336
Šumná;48.92933;15.88682
Zbraslavice;49.80221;15.16833
Česká Bělá;49.64971;15.70308
Halámky;48.84968;14.93566
Zalešany;50.02861;15.01542
Roubanina;49.6162;16.59748
Nová Ves u Bakova;50.50023;14.92031
Žabonosy;50.03871;15.02882
Vidice;49.91597;15.18312
Starý Mateřov;50.0056;15.71329
Křižanovice u Vyškova;49.29175;17.0386
Klokočí;49.55775;17.68367
Kojetín;49.34937;17.30571
Kokory;49.49485;17.37709
Pačejov;49.37787;13.62097
Řepín;50.37338;14.62826
Luka;50.51376;14.65434
Ždírec;50.51829;14.62019
Lazníčky;49.54776;17.46352
Lhota;49.49938;17.6157
Lipník nad Bečvou;49.54033;17.59381
Veselíčko;49.53698;17.50353
Všechovice;49.4635;17.75302
Žákovice;49.45475;17.65468
Němčičky;48.9429;16.10235
Šafov;48.8665;15.73985
Osek nad Bečvou;49.51054;17.53148
Paršovice;49.51011;17.68784
Partutovice;49.63264;17.70791
Pavlovice u Přerova;49.4683;17.55491
Radošov;49.3376;15.78713
Lhotka;50.37006;14.54672
Vojkovice;50.304;14.37356
Třebom;50.04962;18.03162
Pašinka;49.99682;15.1812
Krychnov;50.00687;15.06329
Jankov;49.655;14.74223
Bučí;49.88349;13.30004
Vlašim;49.70383;14.88989
Javorník;49.68671;15.02804
Šumperk;49.97784;16.9633
Bělá pod Pradědem;50.16247;17.19099
Keblov;49.67784;15.081
Radovesnice I;50.01105;15.14704
Kozmice;49.8237;14.79319
Bernartice;50.38185;17.0834
Bludov;49.94561;16.92702
Bohuslavice;49.82471;16.93869
Potštát;49.64285;17.66647
Jiřice u Moravských Budějovic;48.99615;15.92665
Prosenice;49.49182;17.4866
Horní Lapač;49.30111;17.61699
Suchonice;49.52575;17.38132
Radíkov;49.59963;17.67046
Želkovice;50.4613;13.87608
Svémyslice;50.1471;14.64934
Kořenov;50.80238;15.342
Mezná;49.34875;15.21764
Malá Štáhle;49.95969;17.34573
